pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,827.75
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,827.75
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,830.76
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,830.76
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,830.76
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,829.96
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,830.44
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,832.17
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,832.2
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,832.46
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,833.03
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,833.46
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,832.56
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,832.24
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,833.46
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,833.52
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,833.25
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,833.25
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,833.98
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,833.09
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,832.56
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,833.83
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,833.24
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,833.24
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,833.24
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,833.24
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,832.93
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,834.43
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,834.56
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,834.56
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,834.56
